From: http://en.wikibooks.org/wiki/Autodesk_3ds_Max/Shortcuts

Autodesk 3ds Max/Shortcuts
< Autodesk 3ds Max

## Hotkey	Description
A	Toggle Angle Snap on/off.
B	Change active viewport to "Bottom" view.
C	Change active viewport to "Camera" view (there must be at least 1 camera in your scene for this command to work). If you have more than 1 camera in your scene, this will toggle between cameras.
D	Disable view (prevents view from updating; used when editing very large scenes to improve performance)
E	Select and rotate.
F	Change active viewport to "Front" view.
G	Toggle grid on/off.
H	Select by name.
I	Center active viewport to the mouse's position.
J	Show hide selection brackets
L	Change active viewport to "Left" view.
M	Open the Material Editor.
N	Toggle Auto Key on/off.
O	Adaptive degradation, shows objects as boxes, speed up viewport drawing in complex scenes
P	Change active viewport to "Perspective" view.
R	Select and Scale.
S	Toggle Snap on/off.
T	Change active viewport to "Top" view.
U	Change active viewport to "User" view.
W	Select and move.
X	Hide/unhide gizmo.
Z	Zoom Extents All Selected.
6	Particle View (v6 & 7 only).
7	Polygon Count (displayed at upper left of viewport for selected object).
8	Environment panel.
0	Render to texture
Space	Lock selection
Up arrow	Walkthrough mode

## MMB	Pan view
Ctrl+MMB	2x Pan speed
Ctrl+A	Select all
Ctrl+I	Invert selection
Ctrl+V	Clone selected Object
Ctrl+C	(this is not copy!)(in perspective viewport) create target camera using the curent view.
Ctrl+X	eXpert Mode
Ctrl+Z	Undo
Ctrl+Y	Redo
Ctrl+LMB(click)	Add clicked object to current selection
Ctrl+LMB(hold)	Marquee, Add multiple selected to current selection
Alt+LMB(click)	Remove clicked object from current selection
Alt+LMB(hold)	Marquee, Remove multiple selected from current selection
Shift+LMB(click)	Clone selected/clicked object
Shift+LMB(click+drag)	(with move selected) Clone and move selected/cliced object
Alt+MMB	Rotate View
Alt+X	Xray view mode
Alt+Q	Isolates the selected objects
Alt+w	Maximize viewport toggle


## Description Keyboard shortcut

## Snaps Action Table
Snap To Edge/Segment Toggle  Alt+F10  
Snap To Endpoint Toggle  Alt+F8  
Snap To Face Toggle  Alt+F11  
Snap To Grid Points Toggle  Alt+F5  
Snap To Midpoint Toggle  Alt+F9  
Snap To Pivot Toggle  Alt+F6  
Snap To Vertex Toggle  Alt+F7  

## Main UI
Adaptive Degradation Toggle  O  
Align  Alt+A  
Angle Snap Toggle  A  
Arc Rotate View Mode  Ctrl+R  
Auto Key Mode Toggle  N  
Background Lock Toggle  Alt+Ctrl+B  
Backup Time One Unit  ,  
Bottom View  B  
Camera View  C  
Clone  Ctrl+V  
Cycle Active Snap Type  Alt+S  
Cycle Selection Method  Ctrl+F  
Cycle Snap Hit  Alt+Shift+S  
Default Lighting Toggle  Ctrl+L  
Delete Objects  .  
Disable Viewport  D  
Display as See-Through Toggle  Alt+X  
Environment Dialog Toggle  8  
Expert Mode Toggle  Ctrl+X  
Fetch  Alt+Ctrl+F  
Forward Time One Unit  .  
Front View  F  
Go to End Frame  End  
Go to Start Frame  Home  
Hide Cameras Toggle  Shift+C  
